state_fips,state,state_abbr,zipcode,county,city
6,California,CA,89439,Sierra,
6,California,CA,90001,Los Angeles,Los angeles
6,California,CA,90002,Los Angeles,Los angeles
6,California,CA,90003,Los Angeles,Los angeles
6,California,CA,90004,Los Angeles,Los angeles
6,California,CA,90005,Los Angeles,Los angeles
6,California,CA,90006,Los Angeles,Los angeles
6,California,CA,90007,Los Angeles,Los angeles
6,California,CA,90008,Los Angeles,Los angeles
6,California,CA,90010,Los Angeles,Los angeles
6,California,CA,90011,Los Angeles,Los angeles
6,California,CA,90012,Los Angeles,Los angeles
6,California,CA,90013,Los Angeles,Los angeles
6,California,CA,90014,Los Angeles,Los angeles
6,California,CA,90015,Los Angeles,Los angeles
6,California,CA,90016,Los Angeles,Los angeles
6,California,CA,90017,Los Angeles,Los angeles
6,California,CA,90018,Los Angeles,Los angeles
6,California,CA,90019,Los Angeles,Los angeles
6,California,CA,90020,Los Angeles,Los angeles
6,California,CA,90021,Los Angeles,Los angeles
6,California,CA,90022,Los Angeles,East los angeles
6,California,CA,90023,Los Angeles,Los angeles
6,California,CA,90024,Los Angeles,Los angeles
6,California,CA,90025,Los Angeles,Los angeles
6,California,CA,90026,Los Angeles,Los angeles
6,California,CA,90027,Los Angeles,Los angeles
6,California,CA,90028,Los Angeles,Los angeles
6,California,CA,90029,Los Angeles,Los angeles
6,California,CA,90031,Los Angeles,Los angeles
6,California,CA,90032,Los Angeles,Los angeles
6,California,CA,90033,Los Angeles,Los angeles
6,California,CA,90034,Los Angeles,Los angeles
6,California,CA,90035,Los Angeles,Los angeles
6,California,CA,90036,Los Angeles,Los angeles
6,California,CA,90037,Los Angeles,Los angeles
6,California,CA,90038,Los Angeles,Los angeles
6,California,CA,90039,Los Angeles,Los angeles
6,California,CA,90040,Los Angeles,City of commerce
6,California,CA,90041,Los Angeles,Los angeles
6,California,CA,90042,Los Angeles,Los angeles
6,California,CA,90043,Los Angeles,Los angeles
6,California,CA,90044,Los Angeles,Los angeles
6,California,CA,90045,Los Angeles,Los angeles
6,California,CA,90046,Los Angeles,Cole
6,California,CA,90047,Los Angeles,Los angeles
6,California,CA,90048,Los Angeles,Los angeles
6,California,CA,90049,Los Angeles,Los angeles
6,California,CA,90056,Los Angeles,Los angeles
6,California,CA,90057,Los Angeles,Los angeles
6,California,CA,90058,Los Angeles,Vernon
6,California,CA,90059,Los Angeles,Los angeles
6,California,CA,90061,Los Angeles,Los angeles
6,California,CA,90062,Los Angeles,Los angeles
6,California,CA,90063,Los Angeles,Hazard
6,California,CA,90064,Los Angeles,Los angeles
6,California,CA,90065,Los Angeles,Los angeles
6,California,CA,90066,Los Angeles,Los angeles
6,California,CA,90067,Los Angeles,Los angeles
6,California,CA,90068,Los Angeles,Los angeles
6,California,CA,90069,Los Angeles,West hollywood
6,California,CA,90071,Los Angeles,Los angeles
6,California,CA,90077,Los Angeles,Los angeles
6,California,CA,900HH,Los Angeles,Los angeles
6,California,CA,90201,Los Angeles,Bell gardens
6,California,CA,90210,Los Angeles,Beverly hills
6,California,CA,90211,Los Angeles,Beverly hills
6,California,CA,90212,Los Angeles,Beverly hills
6,California,CA,90220,Los Angeles,Rancho dominguez
6,California,CA,90221,Los Angeles,East rancho domi
6,California,CA,90222,Los Angeles,Rosewood
6,California,CA,90230,Los Angeles,Culver city
6,California,CA,90232,Los Angeles,Culver city
6,California,CA,90240,Los Angeles,Downey
6,California,CA,90241,Los Angeles,Downey
6,California,CA,90242,Los Angeles,Downey
6,California,CA,90245,Los Angeles,El segundo
6,California,CA,90247,Los Angeles,Gardena
6,California,CA,90248,Los Angeles,Gardena
6,California,CA,90249,Los Angeles,Gardena
6,California,CA,90250,Los Angeles,Holly park
6,California,CA,90254,Los Angeles,Hermosa beach
6,California,CA,90255,Los Angeles,Huntington park
6,California,CA,90260,Los Angeles,Lawndale
6,California,CA,90261,Los Angeles,Lawndale
6,California,CA,90262,Los Angeles,Lynwood
6,California,CA,90263,Los Angeles,Malibu
6,California,CA,90265,Los Angeles,Malibu
6,California,CA,90266,Los Angeles,Manhattan beach
6,California,CA,90270,Los Angeles,Maywood
6,California,CA,90272,Los Angeles,Pacific palisade
6,California,CA,90274,Los Angeles,Palos verdes est
6,California,CA,90275,Los Angeles,Zcta 90275
6,California,CA,90277,Los Angeles,Redondo beach
6,California,CA,90278,Los Angeles,Redondo beach
6,California,CA,90280,Los Angeles,South gate
6,California,CA,90290,Los Angeles,Topanga
6,California,CA,90291,Los Angeles,Venice
6,California,CA,90292,Los Angeles,Marina del rey
6,California,CA,90293,Los Angeles,Playa del rey
6,California,CA,902HH,Los Angeles,Zcta 902hh
6,California,CA,90301,Los Angeles,Inglewood
6,California,CA,90302,Los Angeles,Inglewood
6,California,CA,90303,Los Angeles,Inglewood
6,California,CA,90304,Los Angeles,Lennox
6,California,CA,90305,Los Angeles,Inglewood
6,California,CA,90401,Los Angeles,Santa monica
6,California,CA,90402,Los Angeles,Santa monica
6,California,CA,90403,Los Angeles,Santa monica
6,California,CA,90404,Los Angeles,Santa monica
6,California,CA,90405,Los Angeles,Santa monica
6,California,CA,904HH,Los Angeles,Zcta 904hh
6,California,CA,90501,Los Angeles,Torrance
6,California,CA,90502,Los Angeles,Torrance
6,California,CA,90503,Los Angeles,Torrance
6,California,CA,90504,Los Angeles,Torrance
6,California,CA,90505,Los Angeles,Torrance
6,California,CA,90601,Los Angeles,Whittier
6,California,CA,90602,Los Angeles,Whittier
6,California,CA,90603,Los Angeles,Whittier
6,California,CA,90604,Los Angeles,Whittier
6,California,CA,90605,Los Angeles,Whittier
6,California,CA,90606,Los Angeles,Los nietos
6,California,CA,90620,Orange,Buena park
6,California,CA,90621,Orange,Buena park
6,California,CA,90623,Orange,Cerritos
6,California,CA,90630,Orange,Cypress
6,California,CA,90631,Orange,La habra heights
6,California,CA,90638,Los Angeles,La mirada
6,California,CA,90640,Los Angeles,Montebello
6,California,CA,90650,Los Angeles,Norwalk
6,California,CA,90660,Los Angeles,Pico rivera
6,California,CA,90670,Los Angeles,Santa fe springs
6,California,CA,90680,Orange,Stanton
6,California,CA,906HH,Los Angeles,Zcta 906hh
6,California,CA,90701,Los Angeles,Cerritos
6,California,CA,90703,Los Angeles,Cerritos
6,California,CA,90704,Los Angeles,Avalon
