county,Provider_Count,COUNTY,ENROLLED,Providers_Per_100_Enrolled
Alameda,3739,Alameda,1141,327.69500438212094
Fresno,2412,Fresno,1661,145.2137266706803
Los Angeles,24146,Los Angeles,5340,452.17228464419475
Orange,9266,Orange,682,1358.6510263929617
Riverside,4371,Riverside,1094,399.5429616087751
Sacramento,4759,Sacramento,1179,403.6471586089907
San Bernardino,3852,San Bernardino,1340,287.46268656716416
San Diego,9899,San Diego,4308,229.78180129990716
San Francisco,2786,San Francisco,1228,226.8729641693811
San Joaquin,1152,San Joaquin,670,171.94029850746267
