Rndrng_NPI,Rndrng_Prvdr_Last_Org_Name,Rndrng_Prvdr_First_Name,Rndrng_Prvdr_State_Abrvtn,Rndrng_Prvdr_Zip5,Rndrng_Prvdr_Type,Tot_Benes,Tot_Mdcr_Pymt_Amt,zipcode,county
1427320399,"Cardionet, Llc.",,CA,94588,Independent Diagnostic Testing Facility (IDTF),143313,112166169.66,94588,Alameda
1710130539,"Irhythm Technologies, Inc.",,CA,94103,Independent Diagnostic Testing Facility (IDTF),354433,94027526.79,94103,San Francisco
1366479099,Unilab Corporation,,CA,91304,Clinical Laboratory,617416,93993531.24,91304,Los Angeles
1770833121,Veracyte Labs Sd Corporation,,CA,92121,Clinical Laboratory,18787,75006711.31,92121,San Diego
1316206220,Invitae Corporation,,CA,94103,Clinical Laboratory,45363,71436621.63,94103,San Francisco
1659352276,Laboratory Corporation Of America,,CA,92128,Clinical Laboratory,427200,59858959.17,92128,San Diego
1619913449,Unilab Corporation,,CA,95834,Clinical Laboratory,328563,47102634.51,95834,Sacramento
1003053851,Jeng,Aaron,CA,91776,Internal Medicine,625,44581902.37,91776,Los Angeles
1861568784,Ambry Genetics Corporation,,CA,92656,Clinical Laboratory,23132,40821291.67,92656,Orange
1043344435,"Biotheranostics, Inc.",,CA,92121,Clinical Laboratory,10171,38415046.93,92121,San Diego
1447437355,Neogenomics Laboratories Inc,,CA,92656,Clinical Laboratory,50827,32576281.89,92656,Orange
1174718134,Park,Richard,CA,91344,Internal Medicine,3941,32374385.82,91344,Los Angeles
1013998921,"Caremark, L.L.C.",,CA,92374,Pharmacy,82,28543250.28,92374,San Bernardino
1639131436,Falck Mobile Health Corp,,CA,92868,Ambulance Service Provider,35367,25513271.86,92868,Orange
1720359698,"Mdxhealth, Inc.",,CA,92618,Clinical Laboratory,10383,24048621.62,92618,Orange
1841489440,Azad,Jack,CA,90061,General Practice,1964,23613026.34,90061,Los Angeles
1982847851,Lee,Johnson,CA,90210,Plastic and Reconstructive Surgery,1118,23440580.85,90210,Los Angeles
1760879217,Michail,James,CA,91344,Geriatric Medicine,1401,23192151.95,91344,Los Angeles
1760418370,"Alere Home Monitoring, Inc.",,CA,94550,Independent Diagnostic Testing Facility (IDTF),51328,20743843.75,94550,Alameda
1497933162,"Millennium Health, Llc",,CA,92127,Clinical Laboratory,48243,20421873.8,92127,San Diego
1700913118,"Biological Laboratory, Inc.",,CA,91773,Clinical Laboratory,167137,19457676.5,91773,Los Angeles
1083789564,City Of Los Angeles,,CA,90012,Ambulance Service Provider,25523,17882097.95,90012,Los Angeles
1891791703,Gautam,Ravindra,CA,92311,Internal Medicine,609,17352547.73,92311,San Bernardino
1356746267,Red Chip Of Nevada,,CA,92614,Pharmacy,40,17268660.31,92614,Orange
1700466745,"Biognomics Lab, Llc",,CA,92618,Clinical Laboratory,81525,16398732.0,92618,Orange
1477157725,Universal Genetics Llc,,CA,91016,Clinical Laboratory,75097,15108930.48,91016,Los Angeles
1952575342,Kohanzadeh,Som,CA,90211,Plastic and Reconstructive Surgery,402,14907865.35,90211,Los Angeles
1063851335,"Modern Nuclear, Inc.",,CA,90631,Independent Diagnostic Testing Facility (IDTF),5212,14646740.79,90631,Orange
1326439159,Black,Patrick,CA,92223,Physical Therapist in Private Practice,103,14479586.56,92223,Riverside
1255889473,Orange Toxicology Lab Inc.,,CA,92408,Clinical Laboratory,102952,14149153.7,92408,San Bernardino
1730466590,"Precision Toxicology, Llc",,CA,92121,Clinical Laboratory,33046,13842282.84,92121,San Diego
