COUNTY,MA_ENROLLED
Alameda,143463
Alpine,36
Amador,3800
Butte,7442
Calaveras,2268
Colusa,527
Contra Costa,119968
Del Norte,271
El Dorado,22761
Fresno,78210
Glenn,641
Humboldt,3480
Imperial,13264
Inyo,615
Kern,63508
Kings,7235
Lake,2704
Lassen,504
Los Angeles,963548
Madera,13641
Marin,29717
Mariposa,748
Mendocino,2736
Merced,11279
Modoc,116
Mono,189
Monterey,11329
Napa,15175
Nevada,6252
Orange,333764
Placer,57320
Plumas,720
Riverside,284194
Sacramento,181491
San Benito,1764
San Bernardino,233500
San Diego,333089
San Francisco,80409
San Joaquin,69851
San Luis Obispo,17877
San Mateo,72011
Santa Barbara,17219
Santa Clara,156750
Santa Cruz,15290
Shasta,5879
Sierra,106
Siskiyou,1222
Solano,51840
Sonoma,66121
Stanislaus,55835
Sutter,2563
Tehama,2207
Trinity,222
Tulare,25362
Tuolumne,2137
Ventura,72817
Yolo,19040
Yuba,3343
